comarcas_islas_id,comarcas_islas_nombre,indicadores_id,indicadores_nombre,medicion_nivel_colesterol_id,medicion_nivel_colesterol_nombre,poblacion_menor_16_anios,notas_observacion
ES70,Canarias,0,Absoluto,0,Total,315476,
ES70,Canarias,0,Absoluto,1,Sí,133178,
ES70,Canarias,0,Absoluto,2,No,173965,
ES70,Canarias,0,Absoluto,3,No sabe/No contesta,8334,
ES70,Canarias,1,Porcentaje,0,Total,100.00,
ES70,Canarias,1,Porcentaje,1,Sí,42.20,
ES70,Canarias,1,Porcentaje,2,No,55.10,
ES70,Canarias,1,Porcentaje,3,No sabe/No contesta,2.60,
ES708,Lanzarote,0,Absoluto,0,Total,21131,
ES708,Lanzarote,0,Absoluto,1,Sí,2912,
ES708,Lanzarote,0,Absoluto,2,No,18057,
ES708,Lanzarote,0,Absoluto,3,No sabe/No contesta,163,
ES708,Lanzarote,1,Porcentaje,0,Total,100.00,
ES708,Lanzarote,1,Porcentaje,1,Sí,13.80,
ES708,Lanzarote,1,Porcentaje,2,No,85.40,
ES708,Lanzarote,1,Porcentaje,3,No sabe/No contesta,0.80,
ES704,Fuerteventura,0,Absoluto,0,Total,14279,
ES704,Fuerteventura,0,Absoluto,1,Sí,4009,
ES704,Fuerteventura,0,Absoluto,2,No,9093,
ES704,Fuerteventura,0,Absoluto,3,No sabe/No contesta,1177,
ES704,Fuerteventura,1,Porcentaje,0,Total,100.00,
ES704,Fuerteventura,1,Porcentaje,1,Sí,28.10,
ES704,Fuerteventura,1,Porcentaje,2,No,63.70,
ES704,Fuerteventura,1,Porcentaje,3,No sabe/No contesta,8.20,
ES705,Gran Canaria,0,Absoluto,0,Total,137150,
ES705,Gran Canaria,0,Absoluto,1,Sí,68914,
ES705,Gran Canaria,0,Absoluto,2,No,63096,
ES705,Gran Canaria,0,Absoluto,3,No sabe/No contesta,5140,
ES705,Gran Canaria,1,Porcentaje,0,Total,100.00,
ES705,Gran Canaria,1,Porcentaje,1,Sí,50.20,
ES705,Gran Canaria,1,Porcentaje,2,No,46.00,
ES705,Gran Canaria,1,Porcentaje,3,No sabe/No contesta,3.70,
ES705A1,Gran Canaria - Área Metropolitana,0,Absoluto,0,Total,87251,
ES705A1,Gran Canaria - Área Metropolitana,0,Absoluto,1,Sí,43881,
ES705A1,Gran Canaria - Área Metropolitana,0,Absoluto,2,No,41814,
ES705A1,Gran Canaria - Área Metropolitana,0,Absoluto,3,No sabe/No contesta,1556,
ES705A1,Gran Canaria - Área Metropolitana,1,Porcentaje,0,Total,100.00,
ES705A1,Gran Canaria - Área Metropolitana,1,Porcentaje,1,Sí,50.30,
ES705A1,Gran Canaria - Área Metropolitana,1,Porcentaje,2,No,47.90,
ES705A1,Gran Canaria - Área Metropolitana,1,Porcentaje,3,No sabe/No contesta,1.80,
ES705A2,Gran Canaria - Norte,0,Absoluto,0,Total,16926,
ES705A2,Gran Canaria - Norte,0,Absoluto,1,Sí,9550,
ES705A2,Gran Canaria - Norte,0,Absoluto,2,No,5425,
ES705A2,Gran Canaria - Norte,0,Absoluto,3,No sabe/No contesta,1951,
ES705A2,Gran Canaria - Norte,1,Porcentaje,0,Total,100.00,
ES705A2,Gran Canaria - Norte,1,Porcentaje,1,Sí,56.40,
ES705A2,Gran Canaria - Norte,1,Porcentaje,2,No,32.10,
ES705A2,Gran Canaria - Norte,1,Porcentaje,3,No sabe/No contesta,11.50,
ES705A3,Gran Canaria - Sur,0,Absoluto,0,Total,32974,
ES705A3,Gran Canaria - Sur,0,Absoluto,1,Sí,15483,
ES705A3,Gran Canaria - Sur,0,Absoluto,2,No,15857,
ES705A3,Gran Canaria - Sur,0,Absoluto,3,No sabe/No contesta,1633,
ES705A3,Gran Canaria - Sur,1,Porcentaje,0,Total,100.00,
ES705A3,Gran Canaria - Sur,1,Porcentaje,1,Sí,47.00,
ES705A3,Gran Canaria - Sur,1,Porcentaje,2,No,48.10,
ES705A3,Gran Canaria - Sur,1,Porcentaje,3,No sabe/No contesta,5.00,
ES709,Tenerife,0,Absoluto,0,Total,124823,
ES709,Tenerife,0,Absoluto,1,Sí,50948,
ES709,Tenerife,0,Absoluto,2,No,72331,
ES709,Tenerife,0,Absoluto,3,No sabe/No contesta,1545,
ES709,Tenerife,1,Porcentaje,0,Total,100.00,
ES709,Tenerife,1,Porcentaje,1,Sí,40.80,
ES709,Tenerife,1,Porcentaje,2,No,57.90,
ES709,Tenerife,1,Porcentaje,3,No sabe/No contesta,1.20,
ES709A1,Tenerife - Área Metropolitana,0,Absoluto,0,Total,55083,
ES709A1,Tenerife - Área Metropolitana,0,Absoluto,1,Sí,19638,
ES709A1,Tenerife - Área Metropolitana,0,Absoluto,2,No,34334,
ES709A1,Tenerife - Área Metropolitana,0,Absoluto,3,No sabe/No contesta,1112,
ES709A1,Tenerife - Área Metropolitana,1,Porcentaje,0,Total,100.00,
ES709A1,Tenerife - Área Metropolitana,1,Porcentaje,1,Sí,35.70,
ES709A1,Tenerife - Área Metropolitana,1,Porcentaje,2,No,62.30,
ES709A1,Tenerife - Área Metropolitana,1,Porcentaje,3,No sabe/No contesta,2.00,
ES709A2,Tenerife - Norte,0,Absoluto,0,Total,35877,
ES709A2,Tenerife - Norte,0,Absoluto,1,Sí,16361,
ES709A2,Tenerife - Norte,0,Absoluto,2,No,19516,
ES709A2,Tenerife - Norte,0,Absoluto,3,No sabe/No contesta,0,
ES709A2,Tenerife - Norte,1,Porcentaje,0,Total,100.00,
ES709A2,Tenerife - Norte,1,Porcentaje,1,Sí,45.60,
ES709A2,Tenerife - Norte,1,Porcentaje,2,No,54.40,
ES709A2,Tenerife - Norte,1,Porcentaje,3,No sabe/No contesta,0.00,
ES709A3,Tenerife - Sur,0,Absoluto,0,Total,33863,
ES709A3,Tenerife - Sur,0,Absoluto,1,Sí,14950,
ES709A3,Tenerife - Sur,0,Absoluto,2,No,18481,
ES709A3,Tenerife - Sur,0,Absoluto,3,No sabe/No contesta,433,
ES709A3,Tenerife - Sur,1,Porcentaje,0,Total,100.00,
ES709A3,Tenerife - Sur,1,Porcentaje,1,Sí,44.10,
ES709A3,Tenerife - Sur,1,Porcentaje,2,No,54.60,
ES709A3,Tenerife - Sur,1,Porcentaje,3,No sabe/No contesta,1.30,
ES706,La Gomera,0,Absoluto,0,Total,2855,
